date,stock1,stock2,stock3,stock4,lot1,lot2,lot3,lot4,value1,value2,value3,value4,stock_value_total,cash,accrued_fee,nav,is_rebalance,is_payfee
2020-08-23,851607,2572066,497280,2572067,19,8,11,15,49622.767400000004,53275.894400000005,45705.0,47672.532,196276.1938,5321.345398149177,48.252321278550184,201549.2868768706,False,False
2020-08-24,851607,2572066,497280,2572067,19,8,11,15,50559.0456,53686.498400000004,45298.0,48051.811499999996,197595.3555,5321.345398149177,48.53022326290206,202868.17067488626,False,False
2020-08-25,851607,2572066,497280,2572067,19,8,11,15,50652.673800000004,53804.94240000001,46068.0,48504.03,199029.64620000002,5321.345398149177,48.81008964834711,204302.18150850083,False,False
2020-08-26,851607,2572066,497280,2572067,19,8,11,15,51251.892,54326.0936,48158.0,49277.176499999994,203013.16210000002,5321.345398149177,49.09541252150944,208285.41208562767,False,False
2020-08-27,851607,2572066,497280,2572067,19,8,11,15,50559.0456,52960.0448,48235.0,49014.59850000001,200768.6889,5321.345398149177,49.3776603829966,206040.65663776617,False,False
2020-08-28,851607,2572066,497280,2572067,19,8,11,15,50765.0265,52786.328,48708.0,49542.380999999994,201801.7355,5321.345398149177,49.66132299017163,207073.419575159,False,False
2020-08-29,851607,2572066,497280,2572067,19,8,11,15,50765.0265,52786.328,48708.0,49542.380999999994,201801.7355,5321.345398149177,49.94498520876773,207073.1359129404,False,False
2020-08-30,851607,2572066,497280,2572067,19,8,11,15,50765.0265,52786.328,48708.0,49542.380999999994,201801.7355,5321.345398149177,50.22864703878546,207072.8522511104,False,False
2020-08-31,851607,2572066,497280,2572067,19,8,11,15,50858.6547,52359.931200000006,49203.0,49510.5795,201932.1654,5321.345398149177,50.51248715132123,207202.99831099785,False,False
2020-09-01,851607,2572066,497280,2572067,19,8,11,15,51963.4629,53631.224799999996,51755.0,50575.480500000005,207925.16820000001,5321.345398149177,50.80453646791164,213195.70906168126,False,False
2020-09-02,851607,2572066,497280,2572067,19,8,11,15,52319.249299999996,53544.3664,51348.0,50867.2335,208078.8492,5321.345398149177,51.0967959063523,213349.09780224282,False,False
2020-09-03,851607,2572066,497280,2572067,19,8,11,15,50502.8683,50528.0048,47113.0,48533.204999999994,196677.07809999998,5321.345398149177,51.37343607991701,201947.05006206923,False,False
2020-09-04,851607,2572066,497280,2572067,19,8,11,15,50016.0047,49596.2488,45265.0,47993.4615,192870.715,5321.345398149177,51.64486167849519,198140.41553647068,False,False
2020-09-05,851607,2572066,497280,2572067,19,8,11,15,50016.0047,49596.2488,45265.0,47993.4615,192870.715,5321.345398149177,51.91628690525748,198140.14411124392,False,False
2020-09-06,851607,2572066,497280,2572067,19,8,11,15,50016.0047,49596.2488,45265.0,47993.4615,192870.715,5321.345398149177,52.18771176020439,198139.872686389,False,False
2020-09-07,851607,2572066,497280,2572067,19,8,11,15,50016.0047,49596.2488,45265.0,47993.4615,192870.715,5321.345398149177,52.459136243336424,198139.60126190586,False,False
2020-09-08,851607,2572066,497280,2572067,19,8,11,15,48199.623700000004,48048.587199999994,44132.0,46578.456,186958.6669,5321.345398149177,52.722461658626706,192227.28983649056,False,False
2020-09-09,851607,2572066,497280,2572067,19,8,11,15,49547.8656,49493.5984,45144.0,47453.7165,191639.18050000002,5321.345398149177,52.992198375662994,196907.5336997735,False,False
2020-09-10,851607,2572066,497280,2572067,19,8,11,15,49004.8228,48759.248,44693.0,47016.087,189473.1578,5321.345398149177,53.25896756881337,194741.24423058034,False,False
2020-09-11,851607,2572066,497280,2572067,19,8,11,15,49061.0001,47961.7288,43769.0,46957.7355,187749.4644,5321.345398149177,53.523375172690876,193017.28642297647,False,False
2020-09-12,851607,2572066,497280,2572067,19,8,11,15,49061.0001,47961.7288,43769.0,46957.7355,187749.4644,5321.345398149177,53.787782414366184,193017.02201573478,False,False
2020-09-13,851607,2572066,497280,2572067,19,8,11,15,49061.0001,47961.7288,43769.0,46957.7355,187749.4644,5321.345398149177,54.052189293839795,193016.75760885532,False,False
2020-09-14,851607,2572066,497280,2572067,19,8,11,15,50128.3574,48703.9744,44550.0,47847.585,191229.91679999998,5321.345398149177,54.321363554125895,196496.94083459504,False,False
2020-09-15,851607,2572066,497280,2572067,19,8,11,15,50971.0093,48822.418399999995,44946.0,48328.9785,193068.4062,5321.345398149177,54.59305592431027,198335.15854222488,False,False
2020-09-16,851607,2572066,497280,2572067,19,8,11,15,50765.0265,48656.5968,44550.0,48460.2675,192431.8908,5321.345398149177,54.86387598340921,197698.37232216576,False,False
